,ID,SKU
0,93649,V0101196
1,93650,V0101197
2,93651,V0101198
3,64136,V0101020
4,96730,V0101216
5,75370,V1701763
6,75379,V1701764
7,99302,V1704664
8,104914,V1704746
9,105228,V1701767
10,99928,V1704682
11,99929,V1704685
12,99930,V1704686
13,99933,V1704708
14,99937,V1704731
15,104093,V1704744
16,104094,V1704745
17,102396,V0201415
18,102398,V0201412
19,102399,V0201413
20,102400,V0201414
21,102401,V0201420
22,102402,V0201416
23,102403,V0201417
24,102404,V0201418
25,102405,V0201419
26,102406,V0201425
27,102408,V0201422
28,102410,V0201424
29,102411,V0201430
30,102412,V0201426
31,102413,V0201427
32,102414,V0201428
33,102415,V0201429
34,102416,V0201431
35,102436,V0201433
36,102437,V0201432
37,102438,V0201434
38,102439,V0201435
39,102440,V0201436
40,102441,V0201437
41,102371,V0201390
42,102395,V0201409
43,102397,V0201411
44,102357,V0201375
45,102358,V0201372
46,102360,V0201374
47,102361,V0201376
48,102364,V0201379
49,102365,V0201380
50,102368,V0201382
51,102369,V0201383
52,102373,V0201387
53,102377,V0201391
54,102386,V0201405
55,102388,V0201402
56,102389,V0201403
57,102390,V0201404
58,102391,V0201410
59,102392,V0201406
60,102394,V0201408
61,102376,V0201395
62,102380,V0201394
63,102409,V0201423
64,102374,V0201388
65,102375,V0201389
66,102393,V0201407
67,102359,V0201373
68,102362,V0201377
69,102363,V0201378
70,102366,V0201385
71,102370,V0201384
72,102372,V0201386
73,102379,V0201393
74,102387,V0201401
75,102407,V0201421
76,102367,V0201381
77,91606,V0101183
78,107072,S2006371
79,107070,S2006370
80,107071,S2006368
81,107068,S2006361
82,107069,S2006327
83,95367,V0101205
84,95368,V0101206
85,96729,V0101215
86,107061,S13012997
87,107063,S13012996
88,107062,S13012995
89,107060,S13012994
90,107059,S2006605
91,107058,S2006604
92,107057,S2006603
93,107056,S2006602
94,107055,S2005597
95,107054,S2005590
96,107050,S2005576
97,107048,S2005574
98,107047,S2005572
99,107046,S2004053
100,107045,S2003093
101,107043,S2006357
102,107044,S2003128
103,107042,S2006359
104,107041,S2006355
105,107040,S2006353
